# !SESSION 2024-04-17 15:10:07.607
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| Worker-25: 打开项目 | 2024-04-17 16:20:05.985 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:20:05.986 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: 打开项目 | 2024-04-17 16:20:05.987 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: 打开项目 | 2024-04-17 16:20:05.989 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: 打开项目 | 2024-04-17 16:20:05.990 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:20:14.022 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:20:14.023 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-29: 构建工作空间 | 2024-04-17 16:21:32.605 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-29: 构建工作空间 | 2024-04-17 16:21:32.606 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-29: 构建工作空间 | 2024-04-17 16:21:32.613 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-29: 构建工作空间 | 2024-04-17 16:21:32.614 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-29: 构建工作空间 | 2024-04-17 16:21:32.615 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-31: 构建工作空间 | 2024-04-17 16:25:50.462 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-31: 构建工作空间 | 2024-04-17 16:25:50.463 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-31: 构建工作空间 | 2024-04-17 16:25:50.480 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-31: 构建工作空间 | 2024-04-17 16:25:50.481 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-31: 构建工作空间 | 2024-04-17 16:25:50.482 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-41: 打开项目 | 2024-04-17 16:39:42.328 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-41: 打开项目 | 2024-04-17 16:39:42.330 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:39:42.342 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:39:42.344 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-41: 打开项目 | 2024-04-17 16:39:42.345 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-41: 打开项目 | 2024-04-17 16:39:42.348 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-41: 打开项目 | 2024-04-17 16:39:42.349 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
